1000
0.d0    0.d0
0.04d0    0.0000002248692728924735d0
0.08d0    0.0000005853004608166659d0
0.12d0    0.000001156999618580614d0
0.16d0    0.000002054341268359448d0
0.2d0    0.000003448091053581035d0
0.24d0    0.00000559019029309643d0
0.28d0    0.00000884790170530142d0
0.32d0    0.00001375013163552248d0
0.36d0    0.00002104927441256888d0
0.4d0    0.00003180241743326589d0
0.44d0    0.00004747612553536188d0
0.4799999999999999d0    0.00007007918736060481d0
0.5199999999999999d0    0.0001023275242292285d0
0.56d0    0.0001478447785439103d0
0.6d0    0.0002114007428276636d0
0.64d0    0.0002991875899297933d0
0.6800000000000001d0    0.0004191306685885333d0
0.7200000000000001d0    0.0005812263360783168d0
0.7600000000000001d0    0.0007978938973247995d0
0.8000000000000002d0    0.001084322319580398d0
0.84d0    0.001458785269070508d0
0.88d0    0.001942890640484989d0
0.92d0    0.002561723800511913d0
0.96d0    0.003343838122478715d0
1.d0    0.004321043092141613d0
1.04d0    0.005527940442866063d0
1.08d0    0.007001163533635379d0
1.12d0    0.00877828544459125d0
1.16d0    0.0108963776195997d0
1.2d0    0.01339022340574071d0
1.24d0    0.01629021892775729d0
1.28d0    0.01962002601585446d0
1.32d0    0.02339407619214906d0
1.36d0    0.02761505808533478d0
1.4d0    0.03227154959246936d0
1.440000000000001d0    0.03733597688096734d0
1.480000000000001d0    0.04276309128794339d0
1.520000000000001d0    0.04848914927484957d0
1.560000000000001d0    0.05443195782981034d0
1.600000000000001d0    0.0604919075421916d0
1.640000000000001d0    0.06655405923397728d0
1.680000000000001d0    0.07249128063801562d0
1.720000000000001d0    0.07816835206883668d0
1.760000000000001d0    0.0834468806911012d0
1.800000000000001d0    0.0881907890955821d0
1.840000000000001d0    0.0922720828398161d0
1.880000000000001d0    0.0955765601272606d0
1.920000000000001d0    0.0980091101270003d0
1.960000000000001d0    0.0994982576365155d0
2.000000000000001d0    0.0999996512657644d0
2.040000000000001d0    0.0994982576365154d0
2.080000000000001d0    0.0980091101270002d0
2.120000000000001d0    0.0955765601272604d0
